Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,1.8775,5.09875,0.15601716738197427,0.7942775393419171
1,1.8225,5.10125,0.15189699570815451,0.7759656652360516
2,1.84,5.09625,0.15336194563662375,0.7805436337625179
3,1.8075,5.1,0.15208011444921318,0.7759656652360516
4,1.8325,5.10375,0.15272103004291848,0.7805436337625179
5,1.8075,5.10125,0.15061516452074394,0.769098712446352
6,1.8075,5.10125,0.15107296137339057,0.769098712446352
7,1.82,5.10125,0.15162231759656655,0.7736766809728184
8,1.8225,5.09875,0.15189699570815451,0.7759656652360516
9,1.8125,5.10125,0.15125608011444922,0.7736766809728184
10,2.495,5.0475,0.20957939914163093,1.057510729613734
11,1.8575,5.0975,0.154826895565093,0.7874105865522176
12,1.86,5.0975,0.154826895565093,0.7874105865522176
13,1.875,5.09625,0.15400286123032905,0.7828326180257512
14,1.8825,5.09625,0.1568412017167382,0.7988555078683836
15,1.8825,5.09625,0.15601716738197427,0.7942775393419171
16,1.8225,5.10125,0.15107296137339057,0.769098712446352
17,1.81,5.1025,0.15079828326180258,0.769098712446352
18,1.805,5.10125,0.1525379113018598,0.7759656652360516
19,1.8225,5.10375,0.15290414878397712,0.7805436337625179
20,1.835,5.1025,0.15290414878397712,0.7805436337625179
21,1.8175,5.1025,0.15189699570815451,0.7759656652360516
22,1.82,5.10125,0.15125608011444922,0.7736766809728184
23,1.8125,5.10375,0.15107296137339057,0.7736766809728184
24,1.83,5.10125,0.1525379113018598,0.7645207439198857
25,2.44,5.04875,0.19373962804005723,0.9796852646638056
26,1.8725,5.0975,0.15601716738197427,0.7942775393419171
27,1.8525,5.09875,0.15436909871244636,0.7874105865522176
28,1.87,5.09625,0.15519313304721033,0.7919885550786839
29,1.8725,5.0975,0.15601716738197427,0.7942775393419171
30,1.885,5.09875,0.1571158798283262,0.8034334763948499
31,1.825,5.1025,0.15024892703862663,0.7645207439198857
32,1.8275,5.10125,0.15226323319027182,0.7759656652360516
33,1.93,5.095,0.16086981402002862,0.8217453505007154
34,4.4425,4.89,0.3712732474964235,1.8151645207439202
35,4.495,4.88,0.3745693848354793,1.826609442060086
