Sample,EVM1 VSHUNT Results (mV),EVM1 VBUS Results (V),EVM1 CURRENT Results (A),EVM1 POWER Results (W)
0,4.975,4.915,0.41357367668097283,2.032618025751073
1,4.9675,4.91375,0.4139399141630902,2.032618025751073
2,4.96,4.91375,0.4132989985693849,2.032618025751073
3,4.9625,4.91375,0.4139399141630902,2.032618025751073
4,4.9625,4.91375,0.41357367668097283,2.032618025751073
5,4.9575,4.915,0.4131158798283262,2.0280400572246067
6,4.9675,4.915,0.4139399141630902,2.032618025751073
7,4.9625,4.915,0.41357367668097283,2.032618025751073
8,4.97,4.915,0.4141230329041488,2.0371959942775395
9,4.955,4.915,0.41357367668097283,2.032618025751073
10,4.955,4.91625,0.41293276108726756,2.0280400572246067
11,4.96,4.91625,0.4132989985693849,2.032618025751073
12,4.985,4.915,0.41503862660944213,2.0394849785407727
13,4.965,4.91375,0.41375679542203153,2.032618025751073
14,4.96,4.91375,0.4132989985693849,2.032618025751073
15,4.9575,4.915,0.4131158798283262,2.0280400572246067
16,4.9775,4.915,0.4132989985693849,2.032618025751073
17,4.9675,4.91625,0.4139399141630902,2.0371959942775395
18,4.9575,4.91625,0.41357367668097283,2.032618025751073
19,4.9675,4.91375,0.41293276108726756,2.0280400572246067
20,4.9625,4.915,0.41357367668097283,2.032618025751073
21,4.9575,4.91375,0.41357367668097283,2.032618025751073
22,4.96,4.915,0.4132989985693849,2.032618025751073
23,4.9675,4.91375,0.4139399141630902,2.032618025751073
24,4.98,4.91375,0.4139399141630902,2.032618025751073
25,4.9625,4.915,0.41293276108726756,2.0280400572246067
26,4.975,4.915,0.41458082975679544,2.0371959942775395
27,4.9625,4.91375,0.4141230329041488,2.0371959942775395
28,4.9625,4.915,0.41375679542203153,2.032618025751073
29,4.945,4.915,0.4121087267525036,2.0257510729613735
30,4.9475,4.91375,0.4122918454935623,2.0257510729613735
31,4.965,4.91375,0.4139399141630902,2.032618025751073
32,4.97,4.915,0.4141230329041488,2.0371959942775395
33,4.965,4.91375,0.41375679542203153,2.032618025751073
34,4.9525,4.915,0.4127496423462089,2.0280400572246067
35,4.9575,4.91375,0.4131158798283262,2.0280400572246067
36,4.96,4.91375,0.4132989985693849,2.032618025751073
37,4.96,4.915,0.4131158798283262,2.0280400572246067
38,4.955,4.91375,0.41293276108726756,2.0280400572246067
39,4.9525,4.91625,0.4127496423462089,2.0280400572246067
40,4.965,4.915,0.41357367668097283,2.032618025751073
41,4.9425,4.91375,0.41183404864091566,2.0257510729613735
42,4.9675,4.915,0.4139399141630902,2.032618025751073
43,4.9775,4.91375,0.41293276108726756,2.0280400572246067
44,4.9525,4.915,0.4127496423462089,2.0280400572246067
45,4.9575,4.91375,0.4131158798283262,2.0280400572246067
46,4.955,4.91375,0.4127496423462089,2.0280400572246067
